gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,121.125,6314.35,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.875,19.1,0
Male,0,No,No,20,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,62.5,1003.05,0
Female,0,Yes,No,37,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,56.75,1593.1,0
Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,106.8125,2509.95,0
Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.125,3187.65,0
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,93.0625,74.45,1
Female,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,80.9375,2345.2,1
Female,0,Yes,No,52,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.8125,3330.1,0
Male,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),96.125,5522.7,0
Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,112.25,2335.3,1
Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),93.25,4798.4,0
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),146.1875,8594.4,0
Male,0,No,Yes,25,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),50.8125,970.55,0
Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),142.9375,7665.8,0
Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),87.125,3686.05,0
Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,119.375,1115.15,1
Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,123.3125,2537.0,0
Male,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,77.0625,1393.6,0
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,111.6875,89.35,0
Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,119.25,4445.3,0
Female,0,Yes,No,26,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),44.25,978.6,0
Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.9375,1258.15,0
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.0625,331.35,0
Female,1,No,No,10,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,37.0625,291.4,1
Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,105.625,453.75,1
Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.5,84.75,0
Male,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.9375,1715.1,0
Male,0,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.6875,1715.15,0
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),113.375,1597.25,1
Male,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1250.1,0
Female,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,74.6875,3996.8,0
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.125,5215.1,0
Female,1,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,87.875,235.5,1
Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4375,673.2,0
Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),113.5,1442.2,0
Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),129.9375,5639.05,1
Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,131.1875,5222.35,0
Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,131.5625,7291.75,0
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,93.4375,799.65,1
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,63.5,50.8,1
Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.6875,424.5,0
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,76.625,249.4,0
Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,94.75,4415.75,0
Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,122.5,5270.6,0
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,100.3125,144.55,1
Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,98.625,2447.95,1
Male,0,Yes,Yes,56,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.0,2884.9,0
Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,105.9375,3050.15,1
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,80.5,253.0,0
Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),106.8125,4517.25,1
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),57.25,436.2,0
Male,0,No,No,4,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,38.125,118.4,0
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.875,19.9,1
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,86.4375,3649.6,0
Male,1,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,124.3125,1200.15,1
Female,0,No,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,61.5625,255.6,0
Male,0,Yes,Yes,63,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),49.1875,2395.05,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,88.25,70.6,1
Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),131.375,5083.55,0
Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),101.25,389.6,1
Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.125,644.5,0
Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,106.0625,523.5,1
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.6875,39.3,0
Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.6875,989.05,0
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),88.0,2406.1,0
Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.5625,638.55,0
Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4375,191.1,0
Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,107.75,4524.05,0
Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),119.5625,4664.2,0
Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,129.75,3470.8,0
Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,121.5,6910.3,0
Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,79.4375,4014.2,0
Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.1875,1288.0,0
Female,1,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,111.4375,2277.65,1
Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),123.75,6375.8,0
Female,1,Yes,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,31.0,24.8,1
Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),106.9375,5251.75,0
Female,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),117.5,1505.45,0
Male,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),132.0625,6903.1,1
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,62.875,913.3,0
Female,0,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,118.75,5535.8,0
Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),76.75,815.55,0
Male,1,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),100.6875,1411.65,0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),98.125,5602.25,0
Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),142.875,8244.3,0
Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0625,741.5,0
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),78.3125,4375.8,0
Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,101.0625,1008.7,1
Male,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),115.875,5968.4,0
Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,125.5625,3096.9,0
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),94.0,3901.25,0
Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),105.9375,2613.4,0
Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,111.8125,853.1,1
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),99.375,5661.7,0
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),90.1875,794.25,1
Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.75,695.05,0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,95.5,160.8,1
Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,126.125,5552.05,0
Male,0,No,Yes,33,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),119.125,3275.15,0
Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),113.6875,4236.6,0
Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,68.125,54.5,0
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,77.0,1174.35,1
Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,99.875,741.7,1
Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),120.1875,3019.25,1
Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),62.0,962.9,0
Female,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),81.625,4759.75,1
Female,0,No,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.25,1498.35,0
Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,56.8125,1233.15,0
Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),134.6875,4882.8,0
Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),111.375,5411.65,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.5625,19.65,1
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,55.9375,148.05,0
Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),127.0,3930.55,0
Male,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),128.9375,6895.5,0
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,105.8125,84.65,1
Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,119.5625,6856.95,0
Female,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),93.875,2658.8,0
Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,76.6875,3766.2,0
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,86.9375,69.55,1
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.625,129.55,0
Female,0,No,No,13,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,38.8125,347.25,1
Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),63.75,581.7,0
Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,63.75,354.05,1
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,111.0625,929.45,0
Male,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.0625,679.0,0
Female,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,81.375,3846.75,0
Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,87.6875,4480.7,0
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),55.4375,44.35,1
Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.9375,499.4,0
Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,70.0625,1553.2,0
Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.9375,219.5,0
Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,123.25,5311.85,0
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,99.625,586.05,1
Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),98.75,2576.8,0
Female,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),111.8125,6435.25,0
Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,92.75,1993.25,0
Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),101.25,1923.85,0
Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,62.0,939.8,0
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,105.75,84.6,0
Male,0,No,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),68.75,3092.65,1
